MMSI,LAT,LON,SOG,COG,Heading,VesselType,Status,Length,Width,Draft,Cargo,Speed_Delta,Course_Delta,AnomalyLabel
366940480,-0.0941591277607343,2.256892147930309,0.877278251322534,-0.7609143647249018,-0.1092225250134064,1001.0,undefined,-0.8987293255337374,-0.7792712713229331,-0.870317171158074,-0.5712536164751538,-0.0004092222210686,-0.000636094072052,0
366940480,-0.0941905009211304,2.252178865444886,0.877278251322534,-0.7680306263152189,-0.1155911323509793,1001.0,undefined,-0.8987293255337374,-0.7792712713229331,-0.870317171158074,-0.5712536164751538,-0.0004092222210686,-0.0085797098382399,0
366940480,-0.0942244885115604,2.245158889797031,0.877278251322534,-0.7735654964410212,-0.1092225250134064,1001.0,undefined,-0.8987293255337374,-0.7792712713229331,-0.870317171158074,-0.5712536164751538,-0.0004092222210686,-0.0068144618901983,0
366940480,-0.1128653746476105,1.7326643416276442,0.6797277536242083,-0.8660768971151435,-0.2111202424145722,1001.0,undefined,-0.8987293255337374,-0.7792712713229331,-0.870317171158074,-0.5712536164751538,-0.3344112837795327,-0.1039030990324944,0
366940480,-0.1135555841763505,1.7174347178741842,0.6797277536242083,-0.8921698562796395,-0.2111202424145722,1001.0,undefined,-0.8987293255337374,-0.7792712713229331,-0.870317171158074,-0.5712536164751538,-0.0004092222210686,-0.029762685214741,0
366940480,-0.1156052973223065,1.676804224926605,0.6577776983243944,-0.8660768971151435,-0.2047516350769994,1001.0,undefined,-0.8987293255337374,-0.7792712713229331,-0.870317171158074,-0.5712536164751538,-0.0375205623942311,0.0284904970706369,0
366940480,-0.1179635132121685,1.6289539640100557,0.6797277536242083,-0.905611683728016,-0.223857457089718,1001.0,undefined,-0.8987293255337374,-0.7792712713229331,-0.870317171158074,-0.5712536164751538,0.0367021179520938,-0.0447672927730958,0
366940480,-0.1188707204336565,1.6120896758107557,0.6797277536242083,-0.8897977690828671,-0.2174888497521451,1001.0,undefined,-0.8987293255337374,-0.7792712713229331,-0.870317171158074,-0.5712536164751538,-0.0004092222210686,0.0170163854083654,0
366940480,-0.1198145296756085,1.595234469080602,0.7236278642238365,-0.8969140306731842,-0.2047516350769994,1001.0,undefined,-0.8987293255337374,-0.7792712713229331,-0.870317171158074,-0.5712536164751538,0.073813458125257,-0.0085797098382399,0
366940480,-0.1250460041718545,1.505128132239831,0.7016778089240222,-0.8905884648151244,-0.2111202424145722,1001.0,undefined,-0.8987293255337374,-0.7792712713229331,-0.870317171158074,-0.5712536164751538,-0.0375205623942318,0.006424897720115,0
366940480,-0.1271480059184725,1.467639827615884,0.7236278642238365,-0.8565885483280541,-0.1856458130642808,1001.0,undefined,-0.8987293255337374,-0.7792712713229331,-0.870317171158074,-0.5712536164751538,0.0367021179520945,0.0373167368108454,0
